age,education,balance,day,month,duration,campaign,pdays,previous,poutcome,job_blue,job_entrepreneur,job_housemaid,job_management,job_retired,job_self,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,default_yes,housing_yes,loan_yes,contact_telephone,contact_unknown
32,3,2667,4,3,251,1,181,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
36,2,1184,6,4,1063,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
46,3,385,29,5,52,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
35,2,360,20,4,24,1,152,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
27,2,337,9,7,23,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
44,2,797,17,4,246,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
34,2,1,28,8,535,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
41,2,879,5,6,1053,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
34,3,26575,5,5,245,6,168,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,1,2,5,5,295,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
31,2,-535,25,7,163,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
46,1,116,18,5,267,4,341,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
30,2,445,16,4,218,1,330,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
28,2,340,24,7,821,2,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
37,2,1784,19,11,19,5,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
42,2,12282,2,6,984,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
31,3,3340,15,9,213,2,469,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,2,1598,10,7,634,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
24,2,1470,12,5,212,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
28,0,78,28,1,554,2,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
45,2,162,8,8,130,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,2,9,17,4,468,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
36,3,85,14,5,76,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,3,780,16,9,393,1,183,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
52,1,109,30,1,177,4,248,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
48,2,-379,22,7,599,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
76,1,1411,15,4,170,3,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,3,-195,20,11,112,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
