Model,Actual FP,Actual TP,DeepInfer FP,DeepInfer TP,DeepInfer FN,DeepInfer TN,Precision,Recall,Accuracy,TPR,FPR,F-1 Score
PD1,34,119,33,118,1,1,0.78,0.99,0.78,0.99,0.97,0.87
PD2,54,99,54,99,0,0,0.65,1.0,0.65,1.0,1.0,0.79
PD3,55,98,55,98,0,0,0.64,1.0,0.64,1.0,1.0,0.78
PD4,42,111,42,111,0,0,0.73,1.0,0.73,1.0,1.0,0.84
HP1,145,147,127,145,2,18,0.53,0.99,0.56,0.99,0.88,0.69
HP2,145,147,127,145,2,18,0.53,0.99,0.56,0.99,0.88,0.69
HP3,147,145,147,145,0,0,0.5,1.0,0.5,1.0,1.0,0.66
HP4,145,147,143,146,1,2,0.51,0.99,0.51,0.99,0.99,0.67
BM1,1044,1072,984,987,85,60,0.5,0.92,0.49,0.92,0.94,0.65
BM2,1050,1066,869,866,200,181,0.5,0.81,0.49,0.81,0.83,0.62
BM3,1024,1092,474,559,533,550,0.54,0.51,0.52,0.51,0.46,0.53
BM4,1049,1067,916,906,161,133,0.5,0.85,0.49,0.85,0.87,0.63
BM5,1064,1052,1001,970,82,63,0.49,0.92,0.49,0.92,0.94,0.64
BM6,1057,1059,1004,977,82,53,0.49,0.92,0.49,0.92,0.95,0.64
BM7,1042,1074,987,984,90,55,0.5,0.92,0.49,0.92,0.95,0.65
BM8,1041,1075,985,986,89,56,0.5,0.92,0.49,0.92,0.95,0.65
BM9,1058,1058,923,888,170,135,0.49,0.84,0.48,0.84,0.87,0.62
BM10,1024,1092,982,989,103,42,0.5,0.91,0.49,0.91,0.96,0.65
BM11,1062,1054,1062,1054,0,0,0.5,1.0,0.5,1.0,1.0,0.66
BM12,1041,1075,860,866,209,181,0.5,0.81,0.49,0.81,0.83,0.62
GC1,2,198,2,198,0,0,0.99,1.0,0.99,1.0,1.0,0.99
GC2,2,198,2,186,12,0,0.99,0.94,0.93,0.94,1.0,0.96
GC3,2,198,1,72,126,1,0.99,0.36,0.36,0.36,0.5,0.53
GC4,2,198,2,198,0,0,0.99,1.0,0.99,1.0,1.0,0.99
GC5,2,198,2,193,5,0,0.99,0.97,0.96,0.97,1.0,0.98
GC6,2,198,1,66,132,1,0.99,0.33,0.34,0.33,0.5,0.5
GC7,2,198,2,193,5,0,0.99,0.97,0.96,0.97,1.0,0.98
GC8,2,198,1,142,56,1,0.99,0.72,0.72,0.72,0.5,0.83
GC9,2,198,1,142,56,1,0.99,0.72,0.72,0.72,0.5,0.83
