age,education,balance,day,month,duration,campaign,pdays,previous,poutcome,job_blue,job_entrepreneur,job_housemaid,job_management,job_retired,job_self,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,default_yes,housing_yes,loan_yes,contact_telephone,contact_unknown
44,3,673,5,2,105,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,1,377,19,2,645,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,3,1781,8,4,321,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,3,6,13,10,216,1,183,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,3,4579,12,1,409,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
31,2,4198,25,11,234,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,1,6,22,8,82,2,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
45,1,-249,1,7,92,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
42,3,634,31,7,451,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,2,735,28,10,300,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,2346,24,2,694,1,184,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
31,3,617,4,6,1161,1,97,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,1,-34,5,5,212,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1
45,2,792,19,11,111,5,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
27,3,13107,6,4,661,1,314,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
41,2,1066,11,2,109,3,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
54,2,40,18,7,172,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
50,2,2910,19,11,433,1,113,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
40,2,2338,16,10,717,2,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
45,2,205,3,2,373,1,92,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,3,2666,5,8,475,2,93,4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
53,2,65,25,11,99,1,92,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
28,2,-181,7,5,429,2,343,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
30,1,15261,9,2,43,5,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
74,1,0,13,8,562,2,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
49,3,1,4,5,1076,3,175,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
59,2,1575,12,5,301,3,263,11,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
31,2,579,17,4,469,3,322,15,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
52,2,1319,30,4,37,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
39,3,7,20,11,931,4,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
